ST,state_county5,fips,lon,lat,den,r0.est,r0.est.cor,r0.l66.cor,r0.u66.cor,r0.pred,r0.pred.se,R0.pred,R0.pred.l66,R0.pred.u66
IL,IL_Wayne County,17191,-88.422496,38.406869,8.748800912,0.081182979,0.11219679,0.083350498,0.140011873,0.091370934,0.028217558,1.896383955,1.571079184,2.271033213
IL,IL_White County,17193,-88.192241,38.089959,10.41748606,0.081182979,0.11219679,0.083350498,0.140011873,0.090652241,0.028276149,1.88750434,1.562775643,2.261672966
IL,IL_Whiteside Co,17195,-89.823253,41.780798,30.56145964,0.081182979,0.11219679,0.083350498,0.140011873,0.10634701,0.027889602,2.088806402,1.741645794,2.48639602
IL,"IL_Will County,",17197,-88.057232,41.565138,313.9645285,0.066791031,0.148241053,0.1163327,0.178307967,0.135763528,0.025481463,2.509701433,2.141752717,2.923389502
IL,IL_Williamson C,17199,-88.974979,37.755675,57.86054611,0.081182979,0.11219679,0.083350498,0.140011873,0.099153113,0.028274647,1.994599204,1.655477419,2.38445346
IL,IL_Winnebago Co,17201,-89.06224,42.307128,210.0814117,0.081182979,0.11219679,0.083350498,0.140011873,0.124496323,0.026590965,2.341550382,1.978595516,2.752797007
IL,IL_Woodford Cou,17203,-89.29031,40.771239,27.35747832,0.081182979,0.11219679,0.083350498,0.140011873,0.105677781,0.027698549,2.079902105,1.736109038,2.473337566
IN,IN_Adams County,18001,-84.934317,40.753767,40.63411339,0.115398229,0.13519295,0.107167934,0.162103297,0.125967225,0.026883932,2.363004117,1.993701093,2.781871508
IN,IN_Allen County,18003,-85.122329,41.098642,221.8439358,0.115398229,0.13519295,0.107167934,0.162103297,0.144816295,0.026998034,2.651270756,2.245997361,3.109143199
IN,IN_Bartholomew ,18005,-85.902794,39.216785,79.01516718,0.115398229,0.13519295,0.107167934,0.162103297,0.113421621,0.0256489,2.184723367,1.852246864,2.560740253
IN,IN_Benton Count,18007,-87.291433,40.575066,8.310661923,0.115398229,0.13519295,0.107167934,0.162103297,0.10960316,0.026461729,2.132545863,1.796604294,2.514320511
IN,IN_Blackford Co,18009,-85.34419,40.469726,27.4439963,0.115398229,0.13519295,0.107167934,0.162103297,0.119086404,0.026725312,2.263910933,1.908670011,2.667195749
IN,IN_Boone County,18011,-86.398737,40.013009,61.87973266,0.115398229,0.13519295,0.107167934,0.162103297,0.119487081,0.025805642,2.269593305,1.925147972,2.658883841
IN,IN_Brown County,18013,-86.20969,39.236241,18.40217756,0.115398229,0.13519295,0.107167934,0.162103297,0.104089046,0.025701983,2.058879453,1.74083042,2.419471697
IN,IN_Carroll Coun,18015,-86.600098,40.578983,20.85337204,0.115398229,0.13519295,0.107167934,0.162103297,0.116348096,0.026498346,2.225364963,1.877627142,2.619967152
IN,"IN_Cass County,",18017,-86.339592,40.747104,35.06878813,0.115398229,0.13519295,0.107167934,0.162103297,0.121670997,0.0266261,2.300755787,1.942278142,2.707270889
IN,IN_Clark County,18019,-85.732035,38.371546,121.4061192,0.115398229,0.13519295,0.107167934,0.162103297,0.10563358,0.025538025,2.079315013,1.760717003,2.440107625
IN,"IN_Clay County,",18021,-87.124217,39.469066,28.09367327,0.115398229,0.13519295,0.107167934,0.162103297,0.108211249,0.026946616,2.113763955,1.774425463,2.500437549
IN,IN_Clinton Coun,18023,-86.512307,40.298201,30.86433434,0.115398229,0.13519295,0.107167934,0.162103297,0.116693713,0.026275287,2.230202378,1.884622398,2.621906619
